movie_id,country_id
1098,1
1099,19
1100,6
1101,1
1101,2
1101,6
1102,1
1103,2
1104,1
1105,20
1105,6
1106,9
1107,72
1107,64
1107,8
1107,73
1107,39
1108,1
1109,29
1110,9
1111,28
1111,20
1112,1
1113,10
1113,1
1114,2
1114,1
1115,12
1116,9
1117,9
1118,1
1119,4
1120,4
1121,1
1122,13
1122,37
1123,42
1123,68
1124,1
1125,1
1126,1
1127,26
1128,1
1129,69
1129,1
1130,1
1131,1
1131,4
1131,54
1131,74
1132,9
1133,11
1134,19
1135,9
1136,12
1137,1
1138,30
1139,2
1140,22
1140,28
1141,1
1142,2
1142,1
1143,1
1144,1
1145,1
1146,1
1147,1
1148,4
1149,4
1149,8
1150,1
1151,8
1152,2
1152,1
1153,12
1154,1
1155,1
1156,9
1156,12
1157,1
1158,2
1159,1
1160,12
1161,1
1162,1
1163,17
1164,48
1164,22
1164,20
1165,1
1166,1
1167,1
1168,34
1169,12
1169,1
1170,9
1171,12
1172,1
1173,1
1174,19
1175,9
1176,1
1177,1
1177,17
1177,12
1178,2
1178,8
1179,1
1180,1
1181,6
1181,12
1181,18
1181,49
1182,1
1183,17
1183,18
1184,12
1185,1
1185,12
1186,9
1187,1
1188,9
1189,2
1189,17
1190,1
1191,8
1192,18
1192,17
1192,1
1193,1
1194,1
1195,1
1196,19
1197,2
1197,1
1198,19
1199,1
1200,9
1201,
1202,1
1203,4
1203,10
1204,1
1205,1
1206,9
1207,1
1208,1
1209,1
1210,2
1211,2
1211,6
1211,20
1211,1
1212,18
1212,1
1213,12
1214,1
1215,2
1216,6
1216,12
1216,1
1217,9
1218,1
1219,9
1220,14
1220,1
1220,8
1221,19
1221,1
1222,1
1223,9
1224,10
1225,1
1226,4
1227,1
1228,1
1229,1
1230,6
1230,20
1231,1
1232,9
1233,9
1234,1
1235,1
1236,1
1237,2
1237,1
1238,1
1239,59
1240,1
1241,1
1242,1
1243,1
1244,42
1244,68
1245,1
1245,12
1246,1
1247,1
